Patent_Code,Patent_Number,Patent_ID,Status,Classes,Title,Organization
PUV,2022-39629,36242,Platný dokument,"B61L1/06, G01L1/24",CS: Kompozitní optovláknový senzor pro detekci tlakové síly vznikající průjezdem kola kolejového vozidla a jeho uspořádáníEN: Composite fibre optic sensor for detecting the pressure force generated by the passage of a rolling stock wheel and its arrangement,"PRODIN a.s., Pardubice, Zelené Předměstí, Česká republikaVysoká škola báňská - Technická univerzita Ostrava, Ostrava, Poruba, Česká republika"
PUV,2022-39692,35925,Platný dokument,"B60B33/00, B60B3/00, B60B15/00, B60B19/00, B60B35/16, B60K7/00, B60K17/00",CS: Trakční kolová jednotka s řízeným natáčenímEN: Traction wheel unit with controlled rotation,"BEDNAR FMT s.r.o., Praha 9, Vinoř, Česká republika"
PUV,2022-39701,36149,Platný dokument,"F24F1/02, F24F13/08, F24F13/24",CS: Interiérová klimatizační jednotkaEN: Indoor air conditioning unit,"Ing. Petr Morávek, CSc., Koberovy, Česká republika"
PUV,2022-39753,35983,Platný dokument,"C12Q1/68, C12Q1/686, C12Q1/6876, C12Q1/6888",CS: Analytická sada Ptig STRplex pro určení pohlaví a identifikaci jedinců Panthera tigrisEN: Ptig STRplex analytical kit for determining sex and identifying Panthera tigris individuals,"Forenzní DNA servis, s.r.o., Praha 7, Holešovice, Česká republika"
PUV,2022-39757,35984,Platný dokument,"C12Q1/68, C12Q1/686, C12Q1/6876, C12Q1/6888",CS: Analytická sada Ptig Qplex pro determinaci druhu Panthera tigris v neznámém vzorku a stanovení kvality a množství izolované jaderné DNAEN: Ptig Qplex analytical kit for determining the species Panthera tigris in an unknown sample and determining the quality and quantity of isolated nuclear DNA,"Forenzní DNA servis, s.r.o., Praha 7, Holešovice, Česká republika"
PUV,2022-39758,35985,Platný dokument,"C12Q1/68, C12Q1/686, C12Q1/6876, C12Q1/6888",CS: Analytická sada Ahya STRplex pro určení pohlaví a identifikaci jedinců Anodorhynchus hyacinthinusEN: Ahya STRplex analytical kit for determining sex and identifying Anodorhynchus hyacinthinus individuals,"Forenzní DNA servis, s.r.o., Praha 7, Holešovice, Česká republika"
PUV,2022-39759,35986,Platný dokument,"C12Q1/68, C12Q1/686, C12Q1/6876, C12Q1/6888",CS: Analytická sada Ahya Qplex pro determinaci druhu Anodorhynchus hyacinthinus v neznámém vzorku a stanovení kvality a množství izolované DNAEN: Ahya Qplex analytical kit for determining the species Anodorhynchus hyacinthinus in an unknown sample and determining the quality and quantity of isolated DNA,"Forenzní DNA servis, s.r.o., Praha 7, Holešovice, Česká republika"
PUV,2022-39760,35987,Platný dokument,"C12Q1/68, C12Q1/686, C12Q1/6876, C12Q1/6888",CS: Analytická sada Pate STRplex pro určení pohlaví a identifikaci jedinců Probosciger aterrimusEN: Pate STRplex analytical kit for determining sex and identifying Probosciger aterrimus individuals,"Forenzní DNA servis, s.r.o., Praha 7, Holešovice, Česká republika"
PUV,2022-39761,35988,Platný dokument,"C12Q1/68, C12Q1/686, C12Q1/6876, C12Q1/6888",CS: Analytická sada Pate Qplex pro determinaci druhu Probosciger aterrimus v neznámém vzorku a stanovení kvality a množství izolované DNAEN: Pate Qplex analytical kit for determining the species Probosciger aterrimus in an unknown sample and determining the quality and quantity of isolated DNA,"Forenzní DNA servis, s.r.o., Praha 7, Holešovice, Česká republika"
PUV,2022-39984,36223,Platný dokument,"C08L67/06, C08K9/00, C08K7/00, A01G9/029, C08L1/00",CS: Biologicky rozložitelná polymerní kompozice kompozitního charakteruEN: Composite biodegradable polymer composition,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika"
