Application_Number,API,STAV,smazat
2014-30445,PUV/30445,Zaniklý dokument,NULL
2014-30449,PUV/30449,Zaniklý dokument,NULL
2014-30450,PUV/30450,Zaniklý dokument,NULL
2014-30458,PUV/30458,Platný dokument,NULL
2014-30459,PUV/30459,Platný dokument,NULL
2014-30474,PUV/30474,Zaniklý dokument,NULL
2014-30477,PUV/30477,Zaniklý dokument,NULL
2014-30479,PUV/30479,Zaniklý dokument,NULL
2014-30483,PUV/30483,Zaniklý dokument,NULL
2014-30488,PUV/30488,Zaniklý dokument,NULL
2014-30490,PUV/30490,Platný dokument,NULL
2014-30492,PUV/30492,Platný dokument,NULL
2014-30495,PUV/30495,Zaniklý dokument,NULL
2014-30496,PUV/30496,Zaniklý dokument,NULL
2014-30498,PUV/30498,Zaniklý dokument,NULL
2014-30507,PUV/30507,Zaniklý dokument,NULL
2014-30510,PUV/30510,Zaniklý dokument,NULL
2014-30513,PUV/30513,Zaniklý dokument,NULL
2014-30518,PUV/30518,Zaniklý dokument,NULL
2014-30523,PUV/30523,Zaniklý dokument,NULL
2014-30532,PUV/30532,Zaniklý dokument,NULL
2014-30533,PUV/30533,Platný dokument,NULL
2014-30534,PUV/30534,Zaniklý dokument,NULL
2014-30537,PUV/30537,Zaniklý dokument,NULL
2014-305,PT/2014-305,Zaniklý dokument,NULL
2014-306,PT/2014-306,Zaniklý dokument,NULL
2014-307,PT/2014-307,Zaniklý dokument,NULL
2014-315,PT/2014-315,Zaniklý dokument,NULL
2014-316,PT/2014-316,Zaniklý dokument,NULL
2014-317,PT/2014-317,Zaniklý dokument,NULL
2014-320,PT/2014-320,Negativně ukončený po zveřejněnĂ­,NULL
2014-321,PT/2014-321,Zaniklý dokument,NULL
2014-322,PT/2014-322,Zaniklý dokument,NULL
2014-324,PT/2014-324,Platný dokument,NULL
2014-326,PT/2014-326,Zaniklý dokument,NULL
2014-327,PT/2014-327,Zaniklý dokument,NULL
2014-330,PT/2014-330,Zaniklý dokument,NULL
2014-332,PT/2014-332,Negativně ukončený po zveřejněnĂ­,NULL
2014-346,PT/2014-346,Negativně ukončený po zveřejněnĂ­,NULL
2014-347,PT/2014-347,Zveřejněná přihláška,NULL
2014-348,PT/2014-348,Zaniklý dokument,NULL
2014-356,PT/2014-356,Zaniklý dokument,NULL
2014-357,PT/2014-357,Zaniklý dokument,NULL
2014-362,PT/2014-362,Zaniklý dokument,NULL
2014-3635,EP/2873329,Neúčinný EP od počátku,NULL
2014-367,PT/2014-367,Platný dokument,NULL
2014-369,PT/2014-369,Zaniklý dokument,NULL
2014-375,PT/2014-375,Negativně ukončený po zveřejněnĂ­,NULL
2014-384,PT/2014-384,Zaniklý dokument,NULL
2014-387,PT/2014-387,Zaniklý dokument,NULL
2014-392,PT/2014-392,Zaniklý dokument,NULL
2014-396,PT/2014-396,Zaniklý dokument,NULL
2014-408,PT/2014-408,Negativně ukončený po zveřejněnĂ­,NULL
2014-4090,EP/3006159,Neúčinný EP od počátku,NULL
2014-4091,EP/3017907,Neúčinný EP od počátku,NULL
2014-409,PT/2014-409,Negativně ukončený po zveřejněnĂ­,NULL
2014-412,PT/2014-412,Zaniklý dokument,NULL
2014-416,PT/2014-416,Negativně ukončený po zveřejněnĂ­,NULL
2014-418,PT/2014-418,Zaniklý dokument,NULL
2014-4194,EP/3031708,Neúčinný EP od počátku,NULL
2014-41,PT/2014-41,Zaniklý dokument,NULL
2014-427,PT/2014-427,Zaniklý dokument,NULL
2014-42,PT/2014-42,Zaniklý dokument,NULL
2014-430,PT/2014-430,Zaniklý dokument,NULL
2014-431,PT/2014-431,Zaniklý dokument,NULL
2014-432,PT/2014-432,Zaniklý dokument,NULL
2014-433,PT/2014-433,Zaniklý dokument,NULL
2014-439,PT/2014-439,Zaniklý dokument,NULL
2014-447,PT/2014-447,Zaniklý dokument,NULL
2014-455,PT/2014-455,Zaniklý dokument,NULL
2014-45,PT/2014-45,Zaniklý dokument,NULL
2014-461,PT/2014-461,Negativně ukončený po zveřejněnĂ­,NULL
2014-466013,EP/2813870,Neúčinný EP od počátku,NULL
2014-46,PT/2014-46,Zaniklý dokument,NULL
2014-479,PT/2014-479,Platný dokument,NULL
2014-483,PT/2014-483,Platný dokument na poshovovací lhůtě,NULL
2014-484,PT/2014-484,Zaniklý dokument,NULL
2014-487,PT/2014-487,Platný dokument na poshovovací lhůtě,NULL
2014-491,PT/2014-491,Zaniklý dokument,NULL
2014-492,PT/2014-492,Zaniklý dokument,NULL
2014-493,PT/2014-493,Zaniklý dokument,NULL
2014-498,PT/2014-498,Zaniklý dokument,NULL
2014-500,PT/2014-500,Zaniklý dokument,NULL
2014-501,PT/2014-501,Zaniklý dokument,NULL
2014-505,PT/2014-505,Zaniklý dokument,NULL
2014-508,PT/2014-508,Zaniklý dokument,NULL
2014-510,PT/2014-510,Platný dokument,NULL
2014-511,PT/2014-511,Zaniklý dokument,NULL
2014-51,PT/2014-51,Zaniklý dokument,NULL
2014-520,PT/2014-520,Platný dokument,NULL
2014-523,PT/2014-523,Negativně ukončený po zveřejněnĂ­,NULL
2014-524,PT/2014-524,Platný dokument,NULL
2014-52,PT/2014-52,Zaniklý dokument,NULL
2014-532,PT/2014-532,Negativně ukončený po zveřejněnĂ­,NULL
2014-537,PT/2014-537,Zaniklý dokument,NULL
2014-538,PT/2014-538,Platný dokument,NULL
2014-539,PT/2014-539,Platný dokument,NULL
2014-53,PT/2014-53,Platný dokument,NULL
2014-546,PT/2014-546,Zaniklý dokument,NULL
2014-549,PT/2014-549,Zaniklý dokument,NULL
2014-550,PT/2014-550,Platný dokument na poshovovací lhůtě,NULL
2014-553,PT/2014-553,Negativně ukončený po zveřejněnĂ­,NULL
2014-554,PT/2014-554,Zaniklý dokument,NULL
2014-560,PT/2014-560,Zaniklý dokument,NULL
2014-563,PT/2014-563,Platný dokument,NULL
2014-565,PT/2014-565,Negativně ukončený po zveřejněnĂ­,NULL
2014-56,PT/2014-56,Platný dokument,NULL
2014-576,PT/2014-576,Zaniklý dokument,NULL
2014-579,PT/2014-579,Zaniklý dokument,NULL
2014-58,PT/2014-58,Zaniklý dokument,NULL
2014-595,PT/2014-595,Zaniklý dokument,NULL
2014-599,PT/2014-599,Zaniklý dokument,NULL
2014-5,PT/2014-5,Platný dokument,NULL
2014-600,PT/2014-600,Zaniklý dokument,NULL
2014-601,PT/2014-601,Zaniklý dokument,NULL
2014-60,PT/2014-60,Zaniklý dokument,NULL
2014-610,PT/2014-610,Zaniklý dokument,NULL
2014-621,PT/2014-621,Platný dokument,NULL
2014-633,PT/2014-633,Zaniklý dokument,NULL
2014-64,PT/2014-64,Zaniklý dokument,NULL
2014-653,PT/2014-653,Zaniklý dokument,NULL
2014-654,PT/2014-654,Zaniklý dokument,NULL
2014-658,PT/2014-658,Zaniklý dokument,NULL
2014-659,PT/2014-659,Negativně ukončený po zveřejněnĂ­,NULL
2014-65,PT/2014-65,Zaniklý dokument,NULL
2014-660,PT/2014-660,Zaniklý dokument,NULL
2014-662,PT/2014-662,Zaniklý dokument,NULL
2014-664,PT/2014-664,Platný dokument,NULL
2014-665,PT/2014-665,Platný dokument,NULL
2014-668,PT/2014-668,Zaniklý dokument,NULL
2014-671,PT/2014-671,Zaniklý dokument,NULL
2014-672,PT/2014-672,Zaniklý dokument,NULL
2014-675,PT/2014-675,Platný dokument,NULL
2014-678,PT/2014-678,Zaniklý dokument,NULL
2014-679,PT/2014-679,Zaniklý dokument,NULL
2014-692,PT/2014-692,Zaniklý dokument,NULL
2014-694,PT/2014-694,Zaniklý dokument,NULL
2014-699,PT/2014-699,Zaniklý dokument,NULL
2014-705963,EP/2875506,Neúčinný EP od počátku,NULL
2014-706277,EP/2875507,Neúčinný EP od počátku,NULL
2014-709525,EP/2950804,Neúčinný EP od počátku,NULL
2014-70,PT/2014-70,Zaniklý dokument,NULL
2014-710788,EP/2953951,Neúčinný EP od počátku,NULL
2014-710,PT/2014-710,Zaniklý dokument,NULL
2014-714,PT/2014-714,Zaniklý dokument,NULL
2014-715,PT/2014-715,Zaniklý dokument,NULL
2014-719198,EP/2948272,Neúčinný EP od počátku,NULL
2014-719,PT/2014-719,Platný dokument,NULL
2014-725,PT/2014-725,Zaniklý dokument,NULL
2014-728,PT/2014-728,Zaniklý dokument,NULL
2014-729,PT/2014-729,Negativně ukončený po zveřejněnĂ­,NULL
2014-730,PT/2014-730,Platný dokument,NULL
2014-734,PT/2014-734,Platný dokument na poshovovací lhůtě,NULL
2014-738,PT/2014-738,Zaniklý dokument,NULL
2014-739,PT/2014-739,Platný dokument,NULL
2014-742,PT/2014-742,Platný dokument na poshovovací lhůtě,NULL
2014-744,PT/2014-744,Zaniklý dokument,NULL
2014-746,PT/2014-746,Zaniklý dokument,NULL
2014-747508,EP/3022068,Neúčinný EP od počátku,NULL
2014-749,EP/2774711,Platný dokument,NULL
2014-74,PT/2014-74,Platný dokument,NULL
2014-757,PT/2014-757,Negativně ukončený po zveřejněnĂ­,NULL
2014-75,PT/2014-75,Zaniklý dokument,NULL
2014-760,PT/2014-760,Zaniklý dokument,NULL
2014-766,PT/2014-766,Zaniklý dokument,NULL
2014-767,PT/2014-767,Zaniklý dokument,NULL
2014-76,PT/2014-76,Negativně ukončený po zveřejněnĂ­,NULL
2014-771,PT/2014-771,Zaniklý dokument,NULL
2014-772,PT/2014-772,Zaniklý dokument,NULL
2014-778,PT/2014-778,Platný dokument,NULL
2014-779,PT/2014-779,Zaniklý dokument,NULL
2014-787,PT/2014-787,Zaniklý dokument,NULL
2014-788,PT/2014-788,Zaniklý dokument,NULL
2014-789772,EP/3047046,Neúčinný EP od počátku,NULL
2014-789976,EP/3039455,Neúčinný EP od počátku,NULL
2014-78,PT/2014-78,Negativně ukončený po zveřejněnĂ­,NULL
2014-7,PT/2014-7,Negativně ukončený po zveřejněnĂ­,NULL
2014-802,PT/2014-802,Zaniklý dokument,NULL
2014-803,PT/2014-803,Zaniklý dokument,NULL
2014-805,PT/2014-805,Zaniklý dokument,NULL
2014-807,PT/2014-807,Negativně ukončený po zveřejněnĂ­,NULL
2014-809,PT/2014-809,Negativně ukončený po zveřejněnĂ­,NULL
2014-811,PT/2014-811,Negativně ukončený po zveřejněnĂ­,NULL
2014-812,PT/2014-812,Zaniklý dokument,NULL
2014-814730,EP/3204732,Neúčinný EP od počátku,NULL
2014-814,PT/2014-814,Platný dokument,NULL
2014-816,PT/2014-816,Zaniklý dokument,NULL
2014-81,PT/2014-81,Platný dokument,NULL
2014-820,PT/2014-820,Negativně ukončený po zveřejněnĂ­,NULL
2014-824767,EP/3077811,Neúčinný EP od počátku,NULL
2014-824,PT/2014-824,Platný dokument,NULL
2014-826,PT/2014-826,Zaniklý dokument,NULL
2014-827,PT/2014-827,Zaniklý dokument,NULL
2014-829,PT/2014-829,Zaniklý dokument,NULL
2014-830785,EP/3092421,Neúčinný EP od počátku,NULL
2014-830,PT/2014-830,Zaniklý dokument,NULL
2014-835616,EP/3085208,Neúčinný EP od počátku,NULL
2014-835,PT/2014-835,Zaniklý dokument,NULL
2014-837,PT/2014-837,Negativně ukončený po zveřejněnĂ­,NULL
2014-838,PT/2014-838,Zaniklý dokument,NULL
2014-839,PT/2014-839,Zaniklý dokument,NULL
2014-83,PT/2014-83,Zaniklý dokument,NULL
2014-840,PT/2014-840,Zaniklý dokument,NULL
2014-841358,EP/3191735,Neúčinný EP od počátku,NULL
2014-841,PT/2014-841,Zaniklý dokument,NULL
2014-842,PT/2014-842,Zaniklý dokument,NULL
2014-844,PT/2014-844,Platný dokument,NULL
2014-848,PT/2014-848,Zaniklý dokument,NULL
2014-851,PT/2014-851,Zaniklý dokument,NULL
2014-856,PT/2014-856,Negativně ukončený po zveřejněnĂ­,NULL
2014-858,PT/2014-858,Platný dokument,NULL
2014-865,PT/2014-865,Zaniklý dokument,NULL
2014-870,PT/2014-870,Platný dokument,NULL
2014-875,PT/2014-875,Platný dokument,NULL
2014-882,PT/2014-882,Zaniklý dokument,NULL
2014-883,PT/2014-883,Zaniklý dokument,NULL
2014-890,PT/2014-890,Zaniklý dokument,NULL
2014-891,PT/2014-891,Zaniklý dokument,NULL
2014-892,PT/2014-892,Zaniklý dokument,NULL
2014-897,PT/2014-897,Zaniklý dokument,NULL
2014-899,PT/2014-899,Platný dokument,NULL
2014-89,PT/2014-89,Zaniklý dokument,NULL
2014-901,PT/2014-901,Zveřejněná přihláška,NULL
2014-902,PT/2014-902,Zaniklý dokument,NULL
2014-904,PT/2014-904,Platný dokument,NULL
2014-909,PT/2014-909,Zaniklý dokument,NULL
2014-910,PT/2014-910,Zaniklý dokument,NULL
2014-911,PT/2014-911,Zaniklý dokument,NULL
2014-913,PT/2014-913,Platný dokument,NULL
2014-914,PT/2014-914,Platný dokument,NULL
2014-915,PT/2014-915,Zaniklý dokument,NULL
2014-920,PT/2014-920,Platný dokument,NULL
2014-922,PT/2014-922,Zaniklý dokument,NULL
2014-925,PT/2014-925,Zaniklý dokument,NULL
2014-930,PT/2014-930,Platný dokument,NULL
2014-932,PT/2014-932,Zaniklý dokument,NULL
2014-933,PT/2014-933,Platný dokument,NULL
2014-934,PT/2014-934,Platný dokument,NULL
2014-936,PT/2014-936,Zaniklý dokument,NULL
2014-937,PT/2014-937,Zaniklý dokument,NULL
2014-942,PT/2014-942,Zaniklý dokument,NULL
2014-944,PT/2014-944,Platný dokument,NULL
2014-945,PT/2014-945,Zaniklý dokument,NULL
2014-946,PT/2014-946,Platný dokument,NULL
2014-947,PT/2014-947,Platný dokument,NULL
2014-948,PT/2014-948,Zaniklý dokument,NULL
2014-94,PT/2014-94,Zaniklý dokument,NULL
2014-955,PT/2014-955,Zaniklý dokument,NULL
2014-956,PT/2014-956,Zaniklý dokument,NULL
2014-95,PT/2014-95,Zaniklý dokument,NULL
2014-962,PT/2014-962,Zaniklý dokument,NULL
2014-963,PT/2014-963,Zaniklý dokument,NULL
2014-979,PT/2014-979,Zaniklý dokument,NULL
2014-981,PT/2014-981,Platný dokument,NULL
2014-983,PT/2014-983,Platný dokument,NULL
2014-984,PT/2014-984,Zaniklý dokument,NULL
2014-985,PT/2014-985,Zaniklý dokument,NULL
2014-98,PT/2014-98,Zaniklý dokument,NULL
2014-9,PT/2014-9,Zaniklý dokument,NULL
2015-102,PT/2015-102,Platný dokument,NULL
2015-106,PT/2015-106,Zaniklý dokument,NULL
2015-108,PT/2015-108,Zaniklý dokument,NULL
2015-109,PT/2015-109,Zaniklý dokument,NULL
2015-115,PT/2015-115,Zaniklý dokument,NULL
2015-116,PT/2015-116,Platný dokument,NULL
2015-117,PT/2015-117,Platný dokument,NULL
2015-126,PT/2015-126,Zaniklý dokument,NULL
2015-129,PT/2015-129,Zaniklý dokument,NULL
2015-130,PT/2015-130,Zaniklý dokument,NULL
2015-140,PT/2015-140,Negativně ukončený po zveřejněnĂ­,NULL
2015-141,PT/2015-141,Zaniklý dokument,NULL
2015-142,PT/2015-142,Platný dokument,NULL
2015-143,PT/2015-143,Zaniklý dokument,NULL
2015-145,PT/2015-145,Zaniklý dokument,NULL
2015-147,PT/2015-147,Platný dokument,NULL
2015-149,PT/2015-149,Zaniklý dokument,NULL
2015-154,PT/2015-154,Zaniklý dokument,NULL
2015-159,PT/2015-159,Zaniklý dokument,NULL
2015-15,PT/2015-15,Zaniklý dokument,NULL
2015-162738,EP/3078910,Neúčinný EP od počátku,NULL
2015-162,PT/2015-162,Zaniklý dokument,NULL
2015-163595,EP/2940483,Neúčinný EP od počátku,NULL
2015-163,PT/2015-163,Platný dokument,NULL
2015-165119,EP/3034693,Zaniklý dokument,NULL
2015-167,PT/2015-167,Platný dokument,NULL
2015-168,PT/2015-168,Platný dokument,NULL
2015-169,PT/2015-169,Zaniklý dokument,NULL
2015-16,PT/2015-16,Zaniklý dokument,NULL
2015-170,PT/2015-170,Zaniklý dokument,NULL
2015-171,PT/2015-171,Zaniklý dokument,NULL
2015-177457,EP/3122161,Neúčinný EP od počátku,NULL
2015-179,PT/2015-179,Zaniklý dokument,NULL
2015-181615,EP/2990474,Neúčinný EP od počátku,NULL
2015-183,PT/2015-183,Zaniklý dokument,NULL
2015-186204,EP/3035065,Neúčinný EP od počátku,NULL
2015-18,PT/2015-18,Zaniklý dokument,NULL
2015-190776,EP/3015012,Neúčinný EP od počátku,NULL
2015-190,PT/2015-190,Negativně ukončený po zveřejněnĂ­,NULL
2015-196591,EP/3173487,Neúčinný EP od počátku,NULL
2015-199,PT/2015-199,Zaniklý dokument,NULL
2015-19,PT/2015-19,Platný dokument,NULL
2015-200,PT/2015-200,Zaniklý dokument,NULL
2015-201,PT/2015-201,Zaniklý dokument,NULL
2015-207,PT/2015-207,Zaniklý dokument,NULL
2015-20,PT/2015-20,Platný dokument,NULL
2015-210,PT/2015-210,Zaniklý dokument,NULL
2015-214,PT/2015-214,Zaniklý dokument,NULL
2015-219,PT/2015-219,Negativně ukončený po zveřejněnĂ­,NULL
2015-223,PT/2015-223,Zaniklý dokument,NULL
2015-2249,EP/3124886,Neúčinný EP od počátku,NULL
2015-237,PT/2015-237,Zaniklý dokument,NULL
2015-238,PT/2015-238,Platný dokument,NULL
2015-239,PT/2015-239,Zaniklý dokument,NULL
2015-247,PT/2015-247,Zaniklý dokument,NULL
2015-249,PT/2015-249,Zaniklý dokument,NULL
2015-254,PT/2015-254,Negativně ukončený po zveřejněnĂ­,NULL
2015-256,PT/2015-256,Zaniklý dokument,NULL
2015-263,PT/2015-263,Zaniklý dokument,NULL
2015-264,PT/2015-264,Zaniklý dokument,NULL
2015-270,PT/2015-270,Zaniklý dokument,NULL
2015-271,PT/2015-271,Zaniklý dokument,NULL
2015-273,PT/2015-273,Zaniklý dokument,NULL
2015-274,PT/2015-274,Zaniklý dokument,NULL
2015-282,PT/2015-282,Negativně ukončený po zveřejněnĂ­,NULL
2015-288,PT/2015-288,Platný dokument prošlá poshovovací lhůta,NULL
2015-289,PT/2015-289,Platný dokument prošlá poshovovací lhůta,NULL
2015-28,PT/2015-28,Zaniklý dokument,NULL
2015-290,PT/2015-290,Platný dokument,NULL
2015-291,PT/2015-291,Zaniklý dokument,NULL
2015-293,PT/2015-293,Zaniklý dokument,NULL
2015-295,PT/2015-295,Zaniklý dokument,NULL
2015-297,PT/2015-297,Zaniklý dokument,NULL
2015-29,PT/2015-29,Zaniklý dokument,NULL
2015-302,PT/2015-302,Zaniklý dokument,NULL
2015-30543,PUV/30543,Zaniklý dokument,NULL
2015-30545,PUV/30545,Zaniklý dokument,NULL
2015-30546,PUV/30546,Zaniklý dokument,NULL
2015-30547,PUV/30547,Zaniklý dokument,NULL
2015-30549,PUV/30549,Zaniklý dokument,NULL
2015-30555,PUV/30555,Zaniklý dokument,NULL
2015-30556,PUV/30556,Zaniklý dokument,NULL
2015-30557,PUV/30557,Zaniklý dokument,NULL
2015-30570,PUV/30570,Zaniklý dokument,NULL
2015-30571,PUV/30571,Zaniklý dokument,NULL
2015-30572,PUV/30572,Zaniklý dokument,NULL
2015-30581,PUV/30581,Zaniklý dokument,NULL
2015-30586,PUV/30586,Zaniklý dokument,NULL
2015-30598,PUV/30598,Zaniklý dokument,NULL
2015-30600,PUV/30600,Zaniklý dokument,NULL
2015-30602,PUV/30602,Zaniklý dokument,NULL
2015-30603,PUV/30603,Zaniklý dokument,NULL
2015-30606,PUV/30606,Zaniklý dokument,NULL
2015-30609,PUV/30609,Zaniklý dokument,NULL
2015-30610,PUV/30610,Zaniklý dokument,NULL
2015-30613,PUV/30613,Platný dokument,NULL
2015-30614,PUV/30614,Platný dokument,NULL
2015-30618,PUV/30618,Zaniklý dokument,NULL
2015-30621,PUV/30621,Zaniklý dokument,NULL
2015-30625,PUV/30625,Platný dokument,NULL
2015-30626,PUV/30626,Platný dokument,NULL
2015-30630,PUV/30630,Zaniklý dokument,NULL
2015-30633,PUV/30633,Platný dokument,NULL
2015-30636,PUV/30636,Zaniklý dokument,NULL
2015-30644,PUV/30644,Zaniklý dokument,NULL
2015-30664,PUV/30664,Zaniklý dokument,NULL
2015-30665,PUV/30665,Zaniklý dokument,NULL
2015-30666,PUV/30666,Zaniklý dokument,NULL
2015-30672,PUV/30672,Zaniklý dokument,NULL
2015-30673,PUV/30673,Zaniklý dokument,NULL
2015-30674,PUV/30674,Platný dokument,NULL
2015-30675,PUV/30675,Zaniklý dokument,NULL
2015-30676,PUV/30676,Platný dokument,NULL
2015-30677,PUV/30677,Zaniklý dokument,NULL
2015-30678,PUV/30678,Zaniklý dokument,NULL
2015-30687,PUV/30687,Zaniklý dokument,NULL
2015-30691,PUV/30691,Zaniklý dokument,NULL
2015-30695,PUV/30695,Zaniklý dokument,NULL
2015-30696,PUV/30696,Zaniklý dokument,NULL
2015-30698,PUV/30698,Zaniklý dokument,NULL
2015-30699,PUV/30699,Zaniklý dokument,NULL
2015-306,PT/2015-306,Zaniklý dokument,NULL
2015-30701,PUV/30701,Zaniklý dokument,NULL
2015-30725,PUV/30725,Zaniklý dokument,NULL
2015-30734,PUV/30734,Zaniklý dokument,NULL
2015-30740,PUV/30740,Zaniklý dokument,NULL
2015-30744,PUV/30744,Zaniklý dokument,NULL
2015-30754,PUV/30754,Zaniklý dokument,NULL
2015-30755,PUV/30755,Zaniklý dokument,NULL
2015-30765,PUV/30765,Zaniklý dokument,NULL
2015-30766,PUV/30766,Platný dokument,NULL
2015-30767,PUV/30767,Zaniklý dokument,NULL
2015-30781,PUV/30781,Zaniklý dokument,NULL
2015-30786,PUV/30786,Zaniklý dokument,NULL
2015-30787,PUV/30787,Zaniklý dokument,NULL
2015-30799,PUV/30799,Zaniklý dokument,NULL
2015-30801,PUV/30801,Zaniklý dokument,NULL
2015-30802,PUV/30802,Zaniklý dokument,NULL
2015-30805,PUV/30805,Zaniklý dokument,NULL
2015-30811,PUV/30811,Platný dokument,NULL
2015-30821,PUV/30821,Zaniklý dokument,NULL
2015-30823,PUV/30823,Zaniklý dokument,NULL
2015-30830,PUV/30830,Platný dokument,NULL
2015-30831,PUV/30831,Platný dokument,NULL
2015-30832,PUV/30832,Zaniklý dokument,NULL
2015-30834,PUV/30834,Zaniklý dokument,NULL
2015-30840,PUV/30840,Zaniklý dokument,NULL
2015-30842,PUV/30842,Zaniklý dokument,NULL
2015-30844,PUV/30844,Zaniklý dokument,NULL
2015-30845,PUV/30845,Zaniklý dokument,NULL
2015-30846,PUV/30846,Zaniklý dokument,NULL
2015-30849,PUV/30849,Platný dokument,NULL
2015-30866,PUV/30866,Zaniklý dokument,NULL
2015-30870,PUV/30870,Zaniklý dokument,NULL
2015-30872,PUV/30872,Zaniklý dokument,NULL
2015-30875,PUV/30875,Zaniklý dokument,NULL
2015-30876,PUV/30876,Zaniklý dokument,NULL
2015-30877,PUV/30877,Zaniklý dokument,NULL
2015-30878,PUV/30878,Zaniklý dokument,NULL
2015-30887,PUV/30887,Zaniklý dokument,NULL
2015-30888,PUV/30888,Zaniklý dokument,NULL
2015-30889,PUV/30889,Zaniklý dokument,NULL
2015-30890,PUV/30890,Zaniklý dokument,NULL
2015-30891,PUV/30891,Zaniklý dokument,NULL
2015-30893,PUV/30893,Zaniklý dokument,NULL
2015-30896,PUV/30896,Zaniklý dokument,NULL
2015-308,PT/2015-308,Platný dokument,NULL
2015-30902,PUV/30902,Zaniklý dokument,NULL
2015-30909,PUV/30909,Zaniklý dokument,NULL
2015-30927,PUV/30927,Zaniklý dokument,NULL
2015-30928,PUV/30928,Zaniklý dokument,NULL
2015-30943,PUV/30943,Zaniklý dokument,NULL
2015-30957,PUV/30957,Platný dokument,NULL
2015-30972,PUV/30972,Zaniklý dokument,NULL
2015-30982,PUV/30982,Zaniklý dokument,NULL
2015-30985,PUV/30985,Zaniklý dokument,NULL
2015-30986,PUV/30986,Zaniklý dokument,NULL
2015-30987,PUV/30987,Zaniklý dokument,NULL
2015-30988,PUV/30988,Zaniklý dokument,NULL
2015-30989,PUV/30989,Zaniklý dokument,NULL
2015-309,PT/2015-309,Platný dokument,NULL
2015-31001,PUV/31001,Zaniklý dokument,NULL
2015-31004,PUV/31004,Zaniklý dokument,NULL
2015-31007,PUV/31007,Zaniklý dokument,NULL
2015-31018,PUV/31018,Zaniklý dokument,NULL
2015-31022,PUV/31022,Zaniklý dokument,NULL
2015-31028,PUV/31028,Zaniklý dokument,NULL
2015-31033,PUV/31033,Zaniklý dokument,NULL
2015-31037,PUV/31037,Zaniklý dokument,NULL
2015-31050,PUV/31050,Zaniklý dokument,NULL
2015-31051,PUV/31051,Zaniklý dokument,NULL
2015-31052,PUV/31052,Zaniklý dokument,NULL
2015-31053,PUV/31053,Platný dokument,NULL
2015-31054,PUV/31054,Platný dokument,NULL
2015-31055,PUV/31055,Platný dokument,NULL
2015-31060,PUV/31060,Platný dokument,NULL
2015-31063,PUV/31063,Platný dokument,NULL
2015-31065,PUV/31065,Platný dokument,NULL
2015-31075,PUV/31075,Zaniklý dokument,NULL
2015-31076,PUV/31076,Zaniklý dokument,NULL
2015-31089,PUV/31089,Zaniklý dokument,NULL
2015-31092,PUV/31092,Zaniklý dokument,NULL
2015-31095,PUV/31095,Zaniklý dokument,NULL
2015-310,PT/2015-310,Zaniklý dokument,NULL
2015-31107,PUV/31107,Zaniklý dokument,NULL
2015-31112,PUV/31112,Zaniklý dokument,NULL
2015-31129,PUV/31129,Platný dokument,NULL
2015-31136,PUV/31136,Platný dokument,NULL
2015-31137,PUV/31137,Zaniklý dokument,NULL
2015-31141,PUV/31141,Zaniklý dokument,NULL
2015-31161,PUV/31161,Zaniklý dokument,NULL
2015-31170,PUV/31170,Platný dokument,NULL
2015-31171,PUV/31171,Zaniklý dokument,NULL
2015-31189,PUV/31189,Platný dokument,NULL
2015-31190,PUV/31190,Zaniklý dokument,NULL
2015-31191,PUV/31191,Zaniklý dokument,NULL
2015-31192,PUV/31192,Zaniklý dokument,NULL
2015-31194,PUV/31194,Zaniklý dokument,NULL
2015-311,PT/2015-311,Platný dokument,NULL
2015-31200,PUV/31200,Platný dokument,NULL
2015-31204,PUV/31204,Zaniklý dokument,NULL
2015-31232,PUV/31232,Zaniklý dokument,NULL
2015-31233,PUV/31233,Zaniklý dokument,NULL
2015-31237,PUV/31237,Zaniklý dokument,NULL
2015-31238,PUV/31238,Zaniklý dokument,NULL
2015-31249,PUV/31249,Zaniklý dokument,NULL
2015-31251,PUV/31251,Platný dokument,NULL
2015-31252,PUV/31252,Zaniklý dokument,NULL
2015-31258,PUV/31258,Platný dokument,NULL
2015-31268,PUV/31268,Zaniklý dokument,NULL
2015-31274,PUV/31274,Platný dokument,NULL
2015-31275,PUV/31275,Platný dokument,NULL
2015-31277,PUV/31277,Zaniklý dokument,NULL
2015-31282,PUV/31282,Platný dokument,NULL
2015-31284,PUV/31284,Zaniklý dokument,NULL
2015-31289,PUV/31289,Platný dokument,NULL
2015-31295,PUV/31295,Zaniklý dokument,NULL
2015-31303,PUV/31303,Zaniklý dokument,NULL
2015-31311,PUV/31311,Zaniklý dokument,NULL
2015-31313,PUV/31313,Zaniklý dokument,NULL
2015-31337,PUV/31337,Zaniklý dokument,NULL
2015-31338,PUV/31338,Zaniklý dokument,NULL
2015-31341,PUV/31341,Zaniklý dokument,NULL
2015-31349,PUV/31349,Zaniklý dokument,NULL
2015-31352,PUV/31352,Zaniklý dokument,NULL
2015-31361,PUV/31361,Zaniklý dokument,NULL
2015-31362,PUV/31362,Platný dokument,NULL
2015-31385,PUV/31385,Platný dokument,NULL
2015-31389,PUV/31389,Zaniklý dokument,NULL
2015-31408,PUV/31408,Zaniklý dokument,NULL
2015-31410,PUV/31410,Zaniklý dokument,NULL
2015-31414,PUV/31414,Platný dokument,NULL
2015-31416,PUV/31416,Zaniklý dokument,NULL
