Applicant_Name,Country_Code,Application_number,File_Name,Filing_Date,ID_univerzita,API,TYP,TYP_CISLO,Application_Number,API,STAV,API_typ
Ceske vysoke uceni technicke v Praze,CZ,2016-748255,OPENDATAST96_EPTEST_CZ_FULL_CZEP3308081.xml,14.06.2016,4,EP/3308081,EP,5,2016-748255,EP/3308081,Neúčinný EP od počátku,EP/3308081-5
Ceske vysoke uceni technicke v Praze,CZ,2016-747858,OPENDATAST96_EPTEST_CZ_FULL_CZEP3329245.xml,21.06.2016,4,EP/3329245,EP,5,2016-747858,EP/3329245,Neúčinný EP od počátku,EP/3329245-5
Ceske vysoke uceni technicke v Praze,CZ,2015-813910,OPENDATAST96_EPTEST_CZ_FULL_CZEP3380990.xml,24.11.2015,4,EP/3380990,EP,5,2015-813910,EP/3380990,Neúčinný EP od počátku,EP/3380990-5
Ceske vysoke uceni technicke v Praze,CZ,2019-712116,OPENDATAST96_EPTEST_CZ_FULL_CZEP3749824.xml,16.02.2019,4,EP/3749824,EP,5,2019-712116,EP/3749824,Neúčinný EP od počátku,EP/3749824-5
Ceske vysoke uceni technicke v Praze,CZ,2020-217992,OPENDATAST96_EPTEST_CZ_FULL_CZEP3846605.xml,31.12.2020,4,EP/3846605,EP,5,2020-217992,EP/3846605,Neúčinný EP od počátku,EP/3846605-5
Ceske vysoke uceni technicke v Praze,CZ,2021-159836,OPENDATAST96_EPTEST_CZ_FULL_CZEP3910226.xml,01.03.2021,4,EP/3910226,EP,5,2021-159836,EP/3910226,Neúčinný EP od počátku,EP/3910226-5
Ceské vysoké ucení technické v Praze,CZ,2017-713880,OPENDATAST96_EPTEST_CZ_DIFF_CZEP3430177.xml,09.03.2017,4,EP/3430177,EP,5,2017-713880,EP/3430177,Neúčinný EP od počátku,EP/3430177-5
Ceské vysoké ucení technické v Praze,CZ,2016-159530,OPENDATAST96_EPTEST_CZ_FULL_CZEP3076144.xml,09.03.2016,4,EP/3076144,EP,5,2016-159530,EP/3076144,Neúčinný EP od počátku,EP/3076144-5
Ceské vysoké ucení technické v Praze,CZ,2016-156563,OPENDATAST96_EPTEST_CZ_FULL_CZEP3101189.xml,19.02.2016,4,EP/3101189,EP,5,2016-156563,EP/3101189,Neúčinný EP od počátku,EP/3101189-5
Ceské vysoké ucení technické v Praze,CZ,2016-177475,OPENDATAST96_EPTEST_CZ_FULL_CZEP3113582.xml,01.07.2016,4,EP/3113582,EP,5,2016-177475,EP/3113582,Neúčinný EP od počátku,EP/3113582-5
Ceské vysoké ucení technické v Praze,CZ,2017-165860,OPENDATAST96_EPTEST_CZ_FULL_CZEP3244324.xml,11.04.2017,4,EP/3244324,EP,5,2017-165860,EP/3244324,Neúčinný EP od počátku,EP/3244324-5
Ceské vysoké ucení technické v Praze,CZ,2017-191558,OPENDATAST96_EPTEST_CZ_FULL_CZEP3315919.xml,18.09.2017,4,EP/3315919,EP,5,2017-191558,EP/3315919,Neúčinný EP od počátku,EP/3315919-5
Ceské vysoké ucení technické v Praze,CZ,2018-179983,OPENDATAST96_EPTEST_CZ_FULL_CZEP3421680.xml,26.06.2018,4,EP/3421680,EP,5,2018-179983,EP/3421680,Neúčinný EP od počátku,EP/3421680-5
Ceské vysoké ucení technické v Praze,CZ,2018-183024,OPENDATAST96_EPTEST_CZ_FULL_CZEP3434182.xml,11.07.2018,4,EP/3434182,EP,5,2018-183024,EP/3434182,Neúčinný EP od počátku,EP/3434182-5
Ceské vysoké ucení technické v Praze,CZ,2018-181052,OPENDATAST96_EPTEST_CZ_FULL_CZEP3460499.xml,01.07.2018,4,EP/3460499,EP,5,2018-181052,EP/3460499,Neúčinný EP od počátku,EP/3460499-5
Ceské vysoké ucení technické v Praze,CZ,2017-828641,OPENDATAST96_EPTEST_CZ_FULL_CZEP3548873.xml,29.11.2017,4,EP/3548873,EP,5,2017-828641,EP/3548873,Neúčinný EP od počátku,EP/3548873-5
Ceské vysoké ucení technické v Praze,CZ,2018-211872,OPENDATAST96_EPTEST_CZ_FULL_CZEP3581094.xml,12.12.2018,4,EP/3581094,EP,5,2018-211872,EP/3581094,Neúčinný EP od počátku,EP/3581094-5
Ceské vysoké ucení technické v Praze,CZ,2019-179036,OPENDATAST96_EPTEST_CZ_FULL_CZEP3581097.xml,07.06.2019,4,EP/3581097,EP,5,2019-179036,EP/3581097,Neúčinný EP od počátku,EP/3581097-5
Ceské vysoké ucení technické v Praze,CZ,2019-198822,OPENDATAST96_EPTEST_CZ_FULL_CZEP3627061.xml,21.09.2019,4,EP/3627061,EP,5,2019-198822,EP/3627061,Neúčinný EP od počátku,EP/3627061-5
Ceské vysoké ucení technické v Praze,CZ,2021-822324,OPENDATAST96_EPTEST_CZ_FULL_CZEP4051195.xml,10.06.2021,4,EP/4051195,EP,5,2021-822324,EP/4051195,Neúčinný EP od počátku,EP/4051195-5
"Ceské Vysoké Ucení Technické V Praze 
Fakulta Strojni",CZ,2020-215133,OPENDATAST96_EPTEST_CZ_DIFF_CZEP3838302.xml,17.12.2020,4,EP/3838302,EP,5,2020-215133,EP/3838302,Neúčinný EP od počátku,EP/3838302-5
"Ceské Vysoké Ucení Technické V Praze 
Fakulta Strojni",CZ,2022-170293,OPENDATAST96_EPTEST_CZ_DIFF_CZEP4059527.xml,17.12.2020,4,EP/4059527,EP,5,2022-170293,EP/4059527,Neúčinný EP od počátku,EP/4059527-5
"Ceské vysoké ucení technické v Praze 
Ústav technické a experimentáiní fyziky",CZ,2014-789976,OPENDATAST96_EPTEST_CZ_FULL_CZEP3039455.xml,26.08.2014,4,EP/3039455,EP,5,2014-789976,EP/3039455,Neúčinný EP od počátku,EP/3039455-5
"Ceske vysoke uceni technicke v Praze, Fakulta 
strojni, Centrum vozidel udrzitelne mobility",CZ,2018-181561,OPENDATAST96_EPTEST_CZ_FULL_CZEP3425185.xml,04.07.2018,4,EP/3425185,EP,5,2018-181561,EP/3425185,Neúčinný EP od počátku,EP/3425185-5
CVUT- Fakulta Stavebni,CZ,2017-772595,OPENDATAST96_EPTEST_CZ_FULL_CZEP3513057.xml,31.08.2017,4,EP/3513057,EP,5,2017-772595,EP/3513057,Neúčinný EP od počátku,EP/3513057-5
"CVUT V Praze, Fakulta Strojní",CZ,2013-466027,OPENDATAST96_EPTEST_CZ_DIFF_CZEP2732928.xml,06.11.2013,4,EP/2732928,EP,5,2013-466027,EP/2732928,Neúčinný EP od počátku,EP/2732928-5
"CVUT V Praze, Fakulta Strojní",CZ,2013-466012,OPENDATAST96_EPTEST_CZ_FULL_CZEP2743040.xml,08.07.2013,4,EP/2743040,EP,5,2013-466012,EP/2743040,Neúčinný EP od počátku,EP/2743040-5
"CVUT V Praze, Fakulta Strojní",CZ,2014-747508,OPENDATAST96_EPTEST_CZ_FULL_CZEP3022068.xml,14.07.2014,4,EP/3022068,EP,5,2014-747508,EP/3022068,Neúčinný EP od počátku,EP/3022068-5
"CVUT V Praze, Fakulta Strojní",CZ,2015-749964,OPENDATAST96_EPTEST_CZ_FULL_CZEP3183098.xml,21.07.2015,4,EP/3183098,EP,5,2015-749964,EP/3183098,Neúčinný EP od počátku,EP/3183098-5
"CVUT V Praze, Fakulta Strojní",CZ,2016-754165,OPENDATAST96_EPTEST_CZ_FULL_CZEP3310535.xml,20.06.2016,4,EP/3310535,EP,5,2016-754165,EP/3310535,Neúčinný EP od počátku,EP/3310535-5
"CVUT V Praze, Fakulta Strojní",CZ,2016-766831,OPENDATAST96_EPTEST_CZ_FULL_CZEP3337640.xml,18.08.2016,4,EP/3337640,EP,5,2016-766831,EP/3337640,Neúčinný EP od počátku,EP/3337640-5
Czech Technical University in Prague,CZ,2021-205420,OPENDATAST96_EPTEST_CZ_DIFF_CZEP4174770.xml,28.10.2021,4,EP/4174770,EP,5,2021-205420,EP/4174770,Neúčinný EP od počátku,EP/4174770-5
Czech Technical University in Prague,CZ,2014-150931,OPENDATAST96_EPTEST_CZ_FULL_CZEP2765428.xml,13.01.2014,4,EP/2765428,EP,5,2014-150931,EP/2765428,Neúčinný EP od počátku,EP/2765428-5
Czech Technical University in Prague,CZ,2014-184711,OPENDATAST96_EPTEST_CZ_FULL_CZEP2851647.xml,15.09.2014,4,EP/2851647,EP,5,2014-184711,EP/2851647,Neúčinný EP od počátku,EP/2851647-5
"Czech Technical University in Prague - 
Faculty of Electrical Engineering",CZ,2014-169931,OPENDATAST96_EPTEST_CZ_FULL_CZEP2811307.xml,27.05.2014,4,EP/2811307,EP,5,2014-169931,EP/2811307,Neúčinný EP od počátku,EP/2811307-5
"Czech Technical University In Prague, 
Faculty of Mechanical Engineering, Department of 
Energy Engineering",CZ,2014-789772,OPENDATAST96_EPTEST_CZ_FULL_CZEP3047046.xml,16.09.2014,4,EP/3047046,EP,5,2014-789772,EP/3047046,Neúčinný EP od počátku,EP/3047046-5
Česká zemědělská univerzita v Praze ,CZ,2013-27636,OPENDATAST96_PT_CZ_DIFF_PUV2013-27636.xml,21.03.2013,3,PUV/27636,PUV,2,2013-27636,PUV/27636,Zaniklý dokument,PUV/27636-2
Česká zemědělská univerzita v Praze ,CZ,2013-27637,OPENDATAST96_PT_CZ_DIFF_PUV2013-27637.xml,21.03.2013,3,PUV/27637,PUV,2,2013-27637,PUV/27637,Zaniklý dokument,PUV/27637-2
Česká zemědělská univerzita v Praze ,CZ,2014-29728,OPENDATAST96_PT_CZ_DIFF_PUV2014-29728.xml,03.07.2014,3,PUV/29728,PUV,2,2014-29728,PUV/29728,Zaniklý dokument,PUV/29728-2
Česká zemědělská univerzita v Praze ,CZ,2014-30330,OPENDATAST96_PT_CZ_DIFF_PUV2014-30330.xml,25.11.2014,3,PUV/30330,PUV,2,2014-30330,PUV/30330,Zaniklý dokument,PUV/30330-2
Česká zemědělská univerzita v Praze ,CZ,2015-30985,OPENDATAST96_PT_CZ_DIFF_PUV2015-30985.xml,20.04.2015,3,PUV/30985,PUV,2,2015-30985,PUV/30985,Zaniklý dokument,PUV/30985-2
Česká zemědělská univerzita v Praze ,CZ,2015-31275,OPENDATAST96_PT_CZ_DIFF_PUV2015-31275.xml,29.06.2015,3,PUV/31275,PUV,2,2015-31275,PUV/31275,Platný dokument,PUV/31275-2
Česká zemědělská univerzita v Praze ,CZ,2015-31519,OPENDATAST96_PT_CZ_DIFF_PUV2015-31519.xml,15.09.2015,3,PUV/31519,PUV,2,2015-31519,PUV/31519,Zaniklý dokument,PUV/31519-2
Česká zemědělská univerzita v Praze ,CZ,2015-31581,OPENDATAST96_PT_CZ_DIFF_PUV2015-31581.xml,02.10.2015,3,PUV/31581,PUV,2,2015-31581,PUV/31581,Zaniklý dokument,PUV/31581-2
Česká zemědělská univerzita v Praze ,CZ,2015-31583,OPENDATAST96_PT_CZ_DIFF_PUV2015-31583.xml,02.10.2015,3,PUV/31583,PUV,2,2015-31583,PUV/31583,Platný dokument,PUV/31583-2
Česká zemědělská univerzita v Praze ,CZ,2015-31974,OPENDATAST96_PT_CZ_DIFF_PUV2015-31974.xml,30.12.2015,3,PUV/31974,PUV,2,2015-31974,PUV/31974,Platný dokument,PUV/31974-2
Česká zemědělská univerzita v Praze ,CZ,2016-32993,OPENDATAST96_PT_CZ_DIFF_PUV2016-32993.xml,31.10.2016,3,PUV/32993,PUV,2,2016-32993,PUV/32993,Zaniklý dokument,PUV/32993-2
Česká zemědělská univerzita v Praze ,CZ,2016-33127,OPENDATAST96_PT_CZ_DIFF_PUV2016-33127.xml,05.12.2016,3,PUV/33127,PUV,2,2016-33127,PUV/33127,Zaniklý dokument,PUV/33127-2
Česká zemědělská univerzita v Praze ,CZ,2016-33244,OPENDATAST96_PT_CZ_DIFF_PUV2016-33244.xml,28.12.2016,3,PUV/33244,PUV,2,2016-33244,PUV/33244,Platný dokument,PUV/33244-2
Česká zemědělská univerzita v Praze ,CZ,2017-33327,OPENDATAST96_PT_CZ_DIFF_PUV2017-33327.xml,24.01.2017,3,PUV/33327,PUV,2,2017-33327,PUV/33327,Zaniklý dokument,PUV/33327-2
Česká zemědělská univerzita v Praze ,CZ,2017-33666,OPENDATAST96_PT_CZ_DIFF_PUV2017-33666.xml,05.05.2017,3,PUV/33666,PUV,2,2017-33666,PUV/33666,Platný dokument,PUV/33666-2
Česká zemědělská univerzita v Praze ,CZ,2017-33736,OPENDATAST96_PT_CZ_DIFF_PUV2017-33736.xml,26.05.2017,3,PUV/33736,PUV,2,2017-33736,PUV/33736,Zaniklý dokument,PUV/33736-2
Česká zemědělská univerzita v Praze ,CZ,2017-33935,OPENDATAST96_PT_CZ_DIFF_PUV2017-33935.xml,19.07.2017,3,PUV/33935,PUV,2,2017-33935,PUV/33935,Platný dokument na poshovovací lhůtě,PUV/33935-2
Česká zemědělská univerzita v Praze ,CZ,2017-34235,OPENDATAST96_PT_CZ_DIFF_PUV2017-34235.xml,19.10.2017,3,PUV/34235,PUV,2,2017-34235,PUV/34235,Zaniklý dokument,PUV/34235-2
Česká zemědělská univerzita v Praze ,CZ,2017-34439,OPENDATAST96_PT_CZ_DIFF_PUV2017-34439.xml,11.12.2017,3,PUV/34439,PUV,2,2017-34439,PUV/34439,Platný dokument,PUV/34439-2
Česká zemědělská univerzita v Praze ,CZ,2017-34480,OPENDATAST96_PT_CZ_DIFF_PUV2017-34480.xml,19.12.2017,3,PUV/34480,PUV,2,2017-34480,PUV/34480,Platný dokument,PUV/34480-2
Česká zemědělská univerzita v Praze ,CZ,2018-35194,OPENDATAST96_PT_CZ_DIFF_PUV2018-35194.xml,20.07.2018,3,PUV/35194,PUV,2,2018-35194,PUV/35194,Zaniklý dokument,PUV/35194-2
Česká zemědělská univerzita v Praze ,CZ,2018-35670,OPENDATAST96_PT_CZ_DIFF_PUV2018-35670.xml,28.11.2018,3,PUV/35670,PUV,2,2018-35670,PUV/35670,Platný dokument,PUV/35670-2
Česká zemědělská univerzita v Praze ,CZ,2018-35749,OPENDATAST96_PT_CZ_DIFF_PUV2018-35749.xml,17.12.2018,3,PUV/35749,PUV,2,2018-35749,PUV/35749,Platný dokument,PUV/35749-2
