Patent_Code,Patent_Number,Patent_ID,Status,Classes,Title,Organization,ID_univerzita
PV,2017-711,307664,Platný dokument,"G01N11/02, G01N11/08, G01N33/44, B29C47/92, B29C47/12",CS: Vytlačovací hlava pro transformaci normálových napětí polymerní taveninyEN: Extrusion head for transforming normal stresses of polymer melt,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PV,2020-389,309071,Platný dokument,"B29C48/30, B29C64/209","CS: Vytlačovací hlava s inertní výstupní štěrbinou, zejména pro vysoké výstupní rychlosti polymerních taveninEN: Extrusion head with inert outlet slit, especially for high outlet velocities of polymer melts","Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2021-39199,35506,Platný dokument,"C04B26/04, C04B14/06","CS: Stavební střešní, krytinový a dlažební materiál pro vodorovné, šikmé i svislé konstrukceEN: Building roofing, roofing and paving material for horizontal, inclined and vertical structures","Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2021-39344,35618,Platný dokument,"C08L67/00, C08K3/013, C08K7/00, C08K3/01, C08K3/04, C08K3/26","CS: Porézní kompozice na bázi plně biodegradabilního polymeru, zejména pro zemědělské aplikaceEN: Porous compositions based on a fully biodegradable polymer, especially for agricultural applications","Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2021-39360,35694,Platný dokument,"C08K5/49, C08K5/3492, C08L23/06, C08L23/16, G02B6/44",CS: Polymerní směs na výrobu samozhášivé mikrochráničky svazku optických kabelůEN: Polymer mixture for producing self-extinguishing microproters of optical cable bundles,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2022-39984,36223,Platný dokument,"C08L67/06, C08K9/00, C08K7/00, A01G9/029, C08L1/00",CS: Biologicky rozložitelná polymerní kompozice kompozitního charakteruEN: Composite biodegradable polymer composition,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2022-40105,36491,Platný dokument,"C05F1/00, C05G1/00",CS: Kapalné listové hnojivo s biostimulačním účinkem na bázi bílkovinného hydrolyzátu směsných kolagenních odpadůEN: Liquid foliar fertilizer with a biostimulating effect based on the protein hydrolyzate of mixed collagen wastes,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2022-40106,36492,Platný dokument,"C05F1/00, C05G1/00",CS: Kapalné listové hnojivo s biostimulačním účinkem na bázi nízkomolárního bílkovinného hydrolyzátu směsných kolagenních odpadůEN: Liquid foliar fertilizer with a biostimulating effect based on a low-molar protein hydrolyzate of mixed collagen wastes,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2022-40449,36767,Platný dokument,G01N33/44,"CS: Analyzátor urychleného stárnutí materiálu, zejména mechanicky a tepelně namáhané vulkanizované pryžeEN: Analyzer of accelerated material aging, especially mechanically and thermally stressed vulcanized rubber","Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2023-40915,37068,Platný dokument,"H04L67/12, H04W4/70",CS: Koncové zařízení pro úzkopásmové 5G sítě s univerzálním rozhranímEN: A terminal device for narrowband 5G networks with a universal interface,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PV,2020-389,309071,Platný dokument,"B29C48/30, B29C64/209","CS: Vytlačovací hlava s inertní výstupní štěrbinou, zejména pro vysoké výstupní rychlosti polymerních taveninEN: Extrusion head with inert outlet slit, especially for high outlet velocities of polymer melts","Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2021-39199,35506,Platný dokument,"C04B26/04, C04B14/06","CS: Stavební střešní, krytinový a dlažební materiál pro vodorovné, šikmé i svislé konstrukceEN: Building roofing, roofing and paving material for horizontal, inclined and vertical structures","Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2021-39344,35618,Platný dokument,"C08L67/00, C08K3/013, C08K7/00, C08K3/01, C08K3/04, C08K3/26","CS: Porézní kompozice na bázi plně biodegradabilního polymeru, zejména pro zemědělské aplikaceEN: Porous compositions based on a fully biodegradable polymer, especially for agricultural applications","Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2021-39360,35694,Platný dokument,"C08K5/49, C08K5/3492, C08L23/06, C08L23/16, G02B6/44",CS: Polymerní směs na výrobu samozhášivé mikrochráničky svazku optických kabelůEN: Polymer mixture for producing self-extinguishing microproters of optical cable bundles,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2022-39984,36223,Platný dokument,"C08L67/06, C08K9/00, C08K7/00, A01G9/029, C08L1/00",CS: Biologicky rozložitelná polymerní kompozice kompozitního charakteruEN: Composite biodegradable polymer composition,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2022-40105,36491,Platný dokument,"C05F1/00, C05G1/00",CS: Kapalné listové hnojivo s biostimulačním účinkem na bázi bílkovinného hydrolyzátu směsných kolagenních odpadůEN: Liquid foliar fertilizer with a biostimulating effect based on the protein hydrolyzate of mixed collagen wastes,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2022-40106,36492,Platný dokument,"C05F1/00, C05G1/00",CS: Kapalné listové hnojivo s biostimulačním účinkem na bázi nízkomolárního bílkovinného hydrolyzátu směsných kolagenních odpadůEN: Liquid foliar fertilizer with a biostimulating effect based on a low-molar protein hydrolyzate of mixed collagen wastes,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2022-40449,36767,Platný dokument,G01N33/44,"CS: Analyzátor urychleného stárnutí materiálu, zejména mechanicky a tepelně namáhané vulkanizované pryžeEN: Analyzer of accelerated material aging, especially mechanically and thermally stressed vulcanized rubber","Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2023-40915,37068,Platný dokument,"H04L67/12, H04W4/70",CS: Koncové zařízení pro úzkopásmové 5G sítě s univerzálním rozhranímEN: A terminal device for narrowband 5G networks with a universal interface,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PV,2016-393,307276,Platný dokument,"C08K3/10, C08K3/24, C08K3/30",CS: Koncentrát pro antimikrobní stabilizaci plastových povrchů vytvořený na bázi anorganické biologicky aktivní látkyEN: A concentrate for antimicrobial stabilization of plastic surfaces designed on the basis of an organic biologically active substance,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republikaFatra, a.s., Napajedla, Česká republika",17
PV,2014-56,305138,Platný dokument,"C08F8/24, C08F8/18, C08F8/32, C08F8/40, C08F8/44, B01J31/06, B01J41/12",CS: Způsob přípravy rozpustného blokového kopolymeru styrenu a olefinů a jeho použitíEN: Process for preparing soluble block copolymer of styrene and olefins as well as use thereof,"Ústav makromolekulární chemie AV ČR, v. v. i., Praha 6, Břevnov, Česká republikaVysoká škola chemicko- technologická v Praze, Praha 6 - Dejvice, Česká republika",21
PV,2014-838,307405,Zaniklý dokument,"B08B9/08, B65D88/66, G01L17/00, G01D11/30, G01N11/10, E21B6/00, G01K13/02",CS: Zařízení zahrnující autonomní systém zajišťující analýzu a tok sypké hmotyEN: A device comprising an autonomous system providing analysis and flow of a bulk material,"Vysoká škola báňská - Technická univerzita Ostrava, Ostrava - Poruba, Česká republika",19
PV,2014-981,306118,Platný dokument,"G01B11/10, G01B11/04, G01B11/03, G01B3/32, G01B21/04",CS: Způsob měření a vyhodnocení prostorového pohybu konstrukčních celků s využitím snímačů vzdálenosti a zařízení k jeho prováděníEN: Method of measuring and evaluation of spatial movement of structural units by making use of distance sensors and apparatus for making the same,"Vysoká škola báňská - Technická univerzita Ostrava, Ostrava - Poruba, Česká republika",19
PUV,2016-32853,29970,Platný dokument,"B61L29/00, G08G1/09, G08G1/00",CS: Zařízení pro detekci překážky na kolejovém přejezduEN: Device to detect presence of an obstacle on crossing,"Vysoká škola báňská - Technická univerzita Ostrava, Ostrava - Poruba, Česká republika",19
PV,2017-549,308030,Platný dokument,G01B11/06,CS: Způsob bezkontaktního měření tlouštěk stěn rotačních skořepin křivkového profilu s plovoucí tloušťkou a zařízení k provádění tohoto způsobuEN: Contactless measurement method of the wall thicknesses of curvilinear rotary shells with a floating thickness and apparatus for carrying out this method,"Vysoká škola báňská - Technická univerzita Ostrava, Ostrava - Poruba, Česká republika",19
PUV,2017-34110,31236,Platný dokument,G01B11/06,CS: Zařízení k provádění měření tlouštěk stěn rotačních skořepin křivkového profilu s plovoucí tloušťkouEN: A device for measuring wall thicknesses of rotating shells of a curved profile with a floating thickness,"Vysoká škola báňská - Technická univerzita Ostrava, Ostrava - Poruba, Česká republika",19
PV,2014-830,305704,Zaniklý dokument,"B02C19/18, B02C19/06, B02C23/36, B02C23/38",CS: Způsob dezintegrace pevných mikročástic do rozměrů nanočástic kavitujícím kapalinovým paprskem a zařízení k provádění tohoto způsobuEN: Disintegration method of solid microparticles to the dimensions of nanoparticles using cavitating liquid jet and apparatus for making the same,"Vysoká škola báňská - Technická univerzita Ostrava, Ostrava- Poruba, Česká republika",19
PV,2017-857,307935,Platný dokument,"H02J3/24, H02J3/28, H02J3/32, H02J3/38, H02J3/46, H02J3/00",CS: Způsob a zařízení pro balancování parametrů kvality elektrické energie v elektrické sítiEN: Method and device for balancing electrical power quality parameters in an electrical network,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2020-291,309006,Platný dokument,C02F1/42,CS: Vodní ionizační reaktorEN: Water ionization reactor,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2020-372,309092,Platný dokument,B64C39/02,CS: Komunikační jednotka létající základny dronůEN: Drone flying base communication unit,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2020-373,309195,Platný dokument,"B64C39/02, B64D47/00, B64D47/08",CS: Dron pro shromažďování a předávání informacíEN: Drone for collecting and transmitting information,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2020-374,309093,Platný dokument,B64C39/02,CS: Létající dronová základnaEN: Flying drone base,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PUV,2021-39105,36583,Platný dokument,"B60L55/00, B60L53/60, B60L53/66",CS: Zařízení pro monitorování technického stavu akumulátorů množiny elektromobilůEN: Device for monitoring the technical condition of the batteries of electric cars,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2020-291,309006,Platný dokument,C02F1/42,CS: Vodní ionizační reaktorEN: Water ionization reactor,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2020-372,309092,Platný dokument,B64C39/02,CS: Komunikační jednotka létající základny dronůEN: Drone flying base communication unit,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2020-373,309195,Platný dokument,"B64C39/02, B64D47/00, B64D47/08",CS: Dron pro shromažďování a předávání informacíEN: Drone for collecting and transmitting information,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2020-374,309093,Platný dokument,B64C39/02,CS: Létající dronová základnaEN: Flying drone base,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PUV,2021-39105,36583,Platný dokument,"B60L55/00, B60L53/60, B60L53/66",CS: Zařízení pro monitorování technického stavu akumulátorů množiny elektromobilůEN: Device for monitoring the technical condition of the batteries of electric cars,"Vysoká škola báňská – Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2013-882,305546,Zaniklý dokument,"G01K1/08, G01K1/20, G01K13/00, G01J5/00, G01K13/25, G01J5/48",CS: Tepelný štít pro eliminaci okolních vlivů prostředí při termografickém měření a způsob jejich prováděníEN: Thermal shield for elimination of environmental effects when conducting thermographic measurements and method of making the same,"Vysoká škola báňská - Technická univerzita Ostrava, Ostrava-Poruba, Česká republika",19
PUV,2014-29229,26876,Zaniklý dokument,"B65G15/08, B65G15/60",CS: Válečková stolice pro dopravní pásy strmého pásového dopravníkuEN: Idler assembly for conveyor belts of steep-incline belt conveyor,"Vysoká škola báňská- Technická univerzita Ostrava, Ostrava - Poruba, Česká republika",19
PUV,2014-30532,28316,Zaniklý dokument,"G01B7/004, G01B3/32, G01B11/03",CS: Zařízení pro měření a vyhodnocení prostorového pohybu konstrukčních celků s využitím snímačů vzdálenostiEN: Apparatus for measuring and evaluating spatial motion of structural units by making use of distance sensors,"Vysoká škola báňská- Technická univerzita Ostrava, Ostrava - Poruba, Česká republika",19
PV,2014-679,305481,Zaniklý dokument,"G01D11/30, G01K13/02, G01L7/00, G01N11/10",CS: Zařízení pro snímání mechanicko- fyzikálních a optických veličin sypkých hmotEN: Device to sense mechanical-physical and optical values of bulk materials,"Vysoká škola báňská- Technická univerzita Ostrava, Ostrava- Poruba, Česká republika",19
PV,2013-944,305194,Zaniklý dokument,"B65G27/16, G01F1/00, G01F1/20, G01F1/002",CS: Způsob modelování mechanických procesů sypkých hmot a zařízení k provádění tohoto způsobuEN: Method of modeling mechanical processes of bulk materials and device for making the same,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava - Poruba, Česká republika",19
PV,2017-262,307647,Platný dokument,"B01F3/02, B01F15/04, B01F23/10",CS: Způsob stabilizace metanového čísla procesních plynů a zařízení k provádění tohoto způsobu pro jednopalivové motoryEN: Method of stabilizing the methane number of process gases and the equipment for this method for single fuel engines,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava Poruba, Česká republika",19
PV,2013-1015,305136,Zaniklý dokument,"B65G23/44, B65G47/34, B07C5/00",CS: Validační řetězový dopravník s unášeči a způsob modelování mechanických procesů s jeho pomocíEN: Validation chain conveyor with drivers and method of modeling mechanical processes by making use thereof,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava- Poruba, Česká republika",19
PV,2019-63,308289,Platný dokument,"B29C31/10, B29C43/20, B29C43/30, B29C33/00, F16L9/133, F16L9/18",CS: Způsob plnění lisovací formy při výrobě víceplášťových trubek a zařízení k provádění tohoto způsobuEN: Method of filling a mould when manufacturing multi-shell tubes and the apparatus for this,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2019-240,308074,Platný dokument,"G09B23/28, A63H3/00",CS: Fantom pro kontinuální generování fetálního a mateřského elektrokardiogramuEN: Phantom for continuous generation of foetal and maternal electrocardiogram,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PUV,2019-36473,33280,Platný dokument,"G01R31/36, G01R31/382, G01R31/385, G01R31/396",CS: Diagnostické zařízení pro elektrochemické akumulátory a baterieEN: Diagnostic equipment for electrochemical accumulators and batteries,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2020-669,309233,Platný dokument,"B61K9/12, B61L1/06",CS: Systém pro rozpoznání a klasifikace plochých kol v kolejové dopravěEN: System for recognising and classifting flat wheels in rail transport,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PUV,2020-37336,34076,Platný dokument,"B29C31/10, B29C43/36, B29C43/20, B29C43/30",CS: Zařízení pro plnění lisovací formy při výrobě vícepláštových trubekEN: Equipment for filling the mould when producing multilayer pipes,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2019-63,308289,Platný dokument,"B29C31/10, B29C43/20, B29C43/30, B29C33/00, F16L9/133, F16L9/18",CS: Způsob plnění lisovací formy při výrobě víceplášťových trubek a zařízení k provádění tohoto způsobuEN: Method of filling a mould when manufacturing multi-shell tubes and the apparatus for this,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2019-240,308074,Platný dokument,"G09B23/28, A63H3/00",CS: Fantom pro kontinuální generování fetálního a mateřského elektrokardiogramuEN: Phantom for continuous generation of foetal and maternal electrocardiogram,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PUV,2019-36473,33280,Platný dokument,"G01R31/36, G01R31/382, G01R31/385, G01R31/396",CS: Diagnostické zařízení pro elektrochemické akumulátory a baterieEN: Diagnostic equipment for electrochemical accumulators and batteries,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2020-669,309233,Platný dokument,"B61K9/12, B61L1/06",CS: Systém pro rozpoznání a klasifikace plochých kol v kolejové dopravěEN: System for recognising and classifting flat wheels in rail transport,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PUV,2020-37336,34076,Platný dokument,"B29C31/10, B29C43/36, B29C43/20, B29C43/30",CS: Zařízení pro plnění lisovací formy při výrobě vícepláštových trubekEN: Equipment for filling the mould when producing multilayer pipes,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2013-121,304285,Zaniklý dokument,"B65G33/14, B65G43/00","CS: Fluidizační šnekovnice, fluidizační šnekový dopravník a způsob dopravy obtížně tekoucího materiáluEN: Fluidization worm, fluidization worm conveyor and method of transporting difficult to flow material","Vysoká škola báňská-Technická univerzita Ostrava, Ostrava-Poruba, Česká republika",19
PV,2013-204,304449,Zaniklý dokument,"B65G3/00, C05F3/00",CS: Turniketový podavač pro fluidizaci sypké hmoty a způsob fluidizace sypké hmotyEN: Rotary vane feeder for bulk material fluidization and fluidization process of bulk material,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava-Poruba, Česká republika",19
PV,2013-312,304329,Zaniklý dokument,"B65G43/08, B65G47/22, G01F1/704, G01F1/74",CS: Validační korečkový elevátor pro modelování mechanických procesů a způsob modelování mechanických procesůEN: Validation bucket elevator for modeling mechanical processes and method of modeling mechanical processes,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava-Poruba, Česká republika",19
PV,2013-765,304502,Zaniklý dokument,"B65G15/08, B65G15/60",CS: Válečková stolice pro dopravní pásy strmého pásového dopravníkuEN: Idler assembly for conveyor belts of steep-incline belt conveyor,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava-Poruba, Česká republika",19
PV,2013-1027,305235,Zaniklý dokument,"A61B5/11, A61H1/02",CS: Zařízení k měření kloubního rozsahu ramenního kloubu a způsob měřeníEN: Device to measure shoulder joint range and measuring method,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava-Poruba, Česká republika",19
PUV,2013-28602,26323,Zaniklý dokument,"A23L1/20, A23C19/09, A23L1/22, A23L11/00, A23L27/00",CS: Pomazánka z okaryEN: Okara spread,"Vysoká škola chemicko-technologická v Praze, 
Fakulta potravinářské a biochemické technologie, Praha, Česká republikaVýzkumný ústav potravinářský Praha, v.v.i., Praha 10, Česká republika",21
PV,2013-202,304707,Zaniklý dokument,"E04B1/58, E04B1/38, E04B1/26",CS: Lineární trámový spojEN: Linear girder connection,"Vysoká škola technická a ekonomická v Českých Budějovicích, České Budějovice, Česká republika",6
PV,2013-922,305414,Zaniklý dokument,"B32B3/08, B32B3/10, B32B3/30, B32B37/10",CS: Způsob výroby velkoplošných žebrovaných kompozitních panelů a/nebo profilových desekEN: Process for producing large-area ribbed composite panels and/or profile plates,"Vysoká škola technická a ekonomická v Českých Budějovicích, České Budějovice, Česká republika",6
PUV,2013-28816,26588,Zaniklý dokument,"B32B3/08, B32B3/10, B32B3/30",CS: Velkoplošný žebrovaný kompozitní panel a/nebo profilová deskaEN: Large-area ribbed composite panel and/or profile plate,"Vysoká škola technická a ekonomická v Českých Budějovicích, České Budějovice, Česká republika",6
PUV,2013-28679,26484,Zaniklý dokument,"E01B7/00, E01B7/22, E01B26/00, E01B2/00","CS: Uspořádání podpražcových podložek u železničních výhybek tvaru 1:18,5-1200-l s přechodovou oblastí ve výhybceEN: Arrangement of sleeper back plates in railway points of the 1:18.5-1200-l shape with transient area in the points","Vysoké učení technické v Brně, Brno, Česká republika",25
PUV,2013-28680,26485,Zaniklý dokument,"E01B7/00, E01B7/22, E01B26/00, E01B2/00",CS: Uspořádání podpražcových podložek u železničních výhybek tvaru 1:14-760 s přechodovou oblastí ve výhybceEN: Arrangement of sleeper back plates in railway points of the 1:14.5-760 shape with transient area in the points,"Vysoké učení technické v Brně, Brno, Česká republika",25
PUV,2013-28681,26486,Zaniklý dokument,"E01B7/00, E01B7/22, E01B26/00, E01B2/00",CS: Uspořádání podpražcových podložek u železničních výhybek tvaru 1:12-500-I s přechodovou oblastí před žlabovými pražciEN: Arrangement of sleeper back plates in railway points of the 1:12-500-I shape with transient area in front of pea-pod sleepers,"Vysoké učení technické v Brně, Brno, Česká republika",25
PUV,2013-28682,26487,Zaniklý dokument,"E01B7/00, E01B7/22, E01B26/00, E01B2/00","CS: Uspořádání podpražcových podložek u železničních výhybek tvaru 1:18,5-1200-l s přechodovou oblastí před žlabovými pražciEN: Arrangement of sleeper back plates in railway points of the 1:18.5-1200-I shape with transient area in front of pea-pod sleepers","Vysoké učení technické v Brně, Brno, Česká republika",25
PUV,2013-28683,26488,Zaniklý dokument,"E01B7/00, E01B7/22, E01B26/00, E01B2/00",CS: Uspořádání podpražcových podložek u železničních výhybek tvaru 1:14-760 s přechodovou oblastí před žlabovými pražciEN: Arrangement of sleeper back plates in railway points of the 1:14-760 shape with transient area in front of pea-pod sleepers,"Vysoké učení technické v Brně, Brno, Česká republika",25
PV,2013-904,305208,Platný dokument,"D02J1/22, D01D5/247, D01D5/24",CS: Způsob úpravy dutého vlákna pro výměníky teplaEN: Method of modifying hollow fiber for heat exchangers,"Vysoké učení technické v Brně, Brno, Veveří, Česká republika",25
PUV,2014-30443,28265,Platný dokument,"E01B7/00, E01B7/22, E01B26/00, E01B2/00",CS: Uspořádání podpražcových podložek u železničních výhybek tvaru 1:9-300 s přechodovou oblastí před žlabovými pražciEN: Arrangement of sleeper footplates of railway points of the 1:9-300 shape with transient region in front of pea-pod sleepers,"Vysoké učení technické v Brně, Brno, Veveří, Česká republika",25
PV,2016-598,307245,Platný dokument,"F28F9/00, B29C53/58, B29C70/06, B01D63/02, F23L15/04",CS: Výměník tepla na bázi polymerních vláken a způsob jeho vytvořeníEN: A heat exchanger based on hollow polymer fibres and a method of its formation,"Vysoké učení technické v Brně, Brno, Veveří, Česká republika",25
PV,2016-765,307033,Platný dokument,"B01D63/02, F28F9/04",CS: Modul výměníku na bázi dutých polymerních vlákenEN: An exchanger module based on hollow polymeric fibres,"Vysoké učení technické v Brně, Brno, Veveří, Česká republika",25
PUV,2017-33329,30513,Platný dokument,"B01D63/02, F28F9/04",CS: Sběrná komora tepelného výměníku z dutých vlákenEN: A collecting chamber of a heat exchanger of hollow fibres,"Vysoké učení technické v Brně, Brno, Veveří, Česká republika",25
PV,2018-16,307878,Platný dokument,"F28F9/04, B01D63/02",CS: Výměník na bázi dutých polymerních vláken a způsob jeho zhotoveníEN: Hollow polymer fibre-based exchanger and how to produce it,"Vysoké učení technické v Brně, Brno, Veveří, Česká republika",25
PV,2020-247,308602,Platný dokument,"E01D11/02, E01D22/00, E01D101/32",CS: Zesílení visutého pásu externím předpětímEN: Reinforcement of a suspended belt by external pre-stressing,"Vysoké učení technické v Brně, Brno, Veveří, Česká republika",25
PV,2020-247,308602,Platný dokument,"E01D11/02, E01D22/00, E01D101/32",CS: Zesílení visutého pásu externím předpětímEN: Reinforcement of a suspended belt by external pre-stressing,"Vysoké učení technické v Brně, Brno, Veveří, Česká republika",25
PUV,2015-30766,28081,Platný dokument,B64D17/80,CS: Záchranné zařízení pro bezpilotní letecké prostředkyEN: Life-saving equipment for unmanned air vehicles,"Vysoké učení technické v Brně, Brno, Veveří, Česká republikaIng. Milan Bábovka, Liberec, Česká republika",25
EP,2016-152684,3050805,Platný dokument,"B64D17/50, B64D17/52, B64D17/72, B64D17/80, B64C39/02, B64D17/42",CS: Záchranné zařízení pro bezpilotní letecké prostředkyEN: EMERGENCY EQUIPMENT FOR UNMANNED AERIAL VEHICLES,"Vysoké učení technické v Brně, Brno, Veveří, Česká republikaMilan Bábovka, Liberec, Liberec III-Jeřáb, Česká republika",25
PV,2014-520,305632,Platný dokument,"H01L31/052, H02S40/42",CS: Chlazený fotovoltaický solární modulEN: Cooled photovoltaic solar module,"Vysoké učení technické v Brně, Brno, Veveří, Česká republikaprof. Dr. Ing. Marcus Reppich, 86199 Augsburg, Spolková republika Německo",25
PUV,2019-36478,33460,Platný dokument,"C12C12/00, C12C11/00",CS: Spodně kvašené pivo s ovocným a bylino-kořenitým aromaEN: Bottom-fermented beer with fruity and herb-spicy aroma,"Výzkumný ústav pivovarský a sladařský, a.s., Praha 2, Nové Město, Česká republikaUniverzita Karlova, Praha 1, Staré Město, Česká republika",14
PV,2021-419,309528,Platný dokument,"C12N1/16, C12R1/865, C12C11/02, C12H3/00",CS: Kmen kvasinek Saccharomyces cerevisiae CCM 9181 a jeho použití při výrobě nízkoalkoholického a nealkoholického pivaEN: Yeast strain Saccharomyces cerevisiae CCM 9181 and its use in producing low-alcohol and non-alcohol beer,"Výzkumný ústav pivovarský a sladařský, a.s., Praha 2, Nové Město, Česká republikaUniverzita Karlova, Praha 1, Staré Město, Česká republika",14
PUV,2019-36478,33460,Platný dokument,"C12C12/00, C12C11/00",CS: Spodně kvašené pivo s ovocným a bylino-kořenitým aromaEN: Bottom-fermented beer with fruity and herb-spicy aroma,"Výzkumný ústav pivovarský a sladařský, a.s., Praha 2, Nové Město, Česká republikaUniverzita Karlova, Praha 1, Staré Město, Česká republika",14
PV,2021-419,309528,Platný dokument,"C12N1/16, C12R1/865, C12C11/02, C12H3/00",CS: Kmen kvasinek Saccharomyces cerevisiae CCM 9181 a jeho použití při výrobě nízkoalkoholického a nealkoholického pivaEN: Yeast strain Saccharomyces cerevisiae CCM 9181 and its use in producing low-alcohol and non-alcohol beer,"Výzkumný ústav pivovarský a sladařský, a.s., Praha 2, Nové Město, Česká republikaUniverzita Karlova, Praha 1, Staré Město, Česká republika",14
PUV,2014-30366,27871,Platný dokument,"A23L1/06, A23L1/30, A61K36/15, A23L33/10","CS: Potravinářské výrobky typu pyré, džemy, pomazánky obohacené o lignanyEN: Food products of the puree type, jams and spreads enriched with ligands","Výzkumný ústav potravinářský Praha, v. v. i., Praha 10, Hostivař, Česká republikaMendelova univerzita v Brně, Brno, Černá Pole, Česká republikaÚstav výzkumu globální změny AV ČR, v. v. i., Brno, Staré Brno, Česká republika",8
PUV,2013-28595,26205,Zaniklý dokument,"A23L1/20, A23L11/00",CS: Karbanátek z naklíčené cizrnyEN: Hamburger from pregerminated chickpea,"Výzkumný ústav potravinářský Praha, v.v.i., Praha, Česká republikaVysoká škola chemicko-technologická v Praze, 
Fakulta potravinářské a biochemické technologie, Praha, Česká republika",21
